locs,techs,energy_cap,,,,,,,,,,,,
SARD,PV_roof_new,0,,,,,,,,,,,,
SICI,PV_roof_new,0,,,,,,,,,,,,
SUD,PV_roof_new,0,,,,,,,,,,,,
CSUD,Trans:CNOR,14700000,,,,,,,,,,,,
NORD,Trans:CNOR,15750000,,,,,,,,,,,,
SARD,Trans:CNOR,450000,,,,,,,,,,,,
CNOR,Trans:CSUD,14700000,,,,,,,,,,,,
SARD,Trans:CSUD,1500000,,,,,,,,,,,,
SUD,Trans:CSUD,8550000,,,,,,,,,,,,
CNOR,Trans:NORD,15750000,,,,,,,,,,,,
CNOR,Trans:SARD,450000,,,,,,,,,,,,
CSUD,Trans:SARD,1500000,,,,,,,,,,,,
SUD,Trans:SICI,2250000,,,,,,,,,,,,
CSUD,Trans:SUD,8550000,,,,,,,,,,,,
SICI,Trans:SUD,2250000,,,,,,,,,,,,
CNOR,Wind_off_PP_new,33785639.43,,,,,,,,,,,,
CSUD,Wind_off_PP_new,36322546.48,,,,,,,,,,,,
SARD,Wind_off_PP_new,0,,,,,,,,,,,,
SICI,Wind_off_PP_new,0,,,,,,,,,,,,
SUD,Wind_off_PP_new,1372790.928,,,,,,,,,,,,
CNOR,Wind_on_PP_new,37072650.88,,,,,,,,,,,,
CSUD,Wind_on_PP_new,0,,,,,,,,,,,,
NORD,Wind_on_PP_new,0,,,,,,,,,,,,
SARD,Wind_on_PP_new,0,,,,,,,,,,,,
SICI,Wind_on_PP_new,0,,,,,,,,,,,,
SUD,Wind_on_PP_new,11171349.12,,,,,,,,,,,,
CNOR,Wind_PP_ex,166000,,,,,,,,,,,,
CSUD,Wind_PP_ex,2316000,,,,,,,,,,,,
SARD,Wind_PP_ex,1095000,,,,,,,,,,,,
SICI,Wind_PP_ex,2126000,,,,,,,,,,,,
SUD,Wind_PP_ex,6053000,,,,,,,,,,,,
