costs,locs,techs,cost_om_con
monetary,CNOR,Nuclear_PP_new,0.095
monetary,CNOR,OXC_PP_new,0.0291
monetary,CSUD,Nuclear_PP_new,0.095
monetary,CSUD,OXC_PP_new,0.0291
monetary,NORD,Nuclear_PP_new,0.095
monetary,NORD,OXC_PP_new,0.0291
monetary,SARD,Nuclear_PP_new,0.095
monetary,SARD,OXC_PP_new,0.0291
monetary,SICI,Nuclear_PP_new,0.095
monetary,SICI,OXC_PP_new,0.0291
monetary,SUD,Nuclear_PP_new,0.095
monetary,SUD,OXC_PP_new,0.0291
