locs,techs,timesteps,storage
NORD,PHS_PP_ex,2019-04-01 18:00:00,4.34524407302
NORD,PHS_PP_ex,2019-04-01 19:00:00,4.52773360517
NORD,PHS_PP_ex,2019-04-01 20:00:00,4.694135652985
NORD,PHS_PP_ex,2019-04-01 21:00:00,4.8526832911849995
NORD,PHS_PP_ex,2019-04-01 22:00:00,5.0142943313099995
NORD,PHS_PP_ex,2019-04-01 23:00:00,5.154969588439999
NORD,PHS_PP_ex,2019-04-02 00:00:00,5.289677632459999
NORD,PHS_PP_ex,2019-04-02 01:00:00,5.417548892464999
NORD,PHS_PP_ex,2019-04-02 02:00:00,5.544057294514999
NORD,PHS_PP_ex,2019-04-02 03:00:00,5.669289197339999
NORD,PHS_PP_ex,2019-04-02 04:00:00,5.789869220339998
NORD,PHS_PP_ex,2019-04-02 05:00:00,5.9073776054649985
NORD,PHS_PP_ex,2019-04-02 06:00:00,6.022752684594998
NORD,PHS_PP_ex,2019-04-02 07:00:00,6.140304675804998
NORD,PHS_PP_ex,2019-04-02 08:00:00,6.257735616329998
NORD,PHS_PP_ex,2019-04-02 09:00:00,6.380526677579998
NORD,PHS_PP_ex,2019-04-02 10:00:00,6.511548386579998
NORD,PHS_PP_ex,2019-04-02 11:00:00,6.653186270689997
NORD,PHS_PP_ex,2019-04-02 12:00:00,6.802110055264997
NORD,PHS_PP_ex,2019-04-02 13:00:00,6.963963070394997
NORD,PHS_PP_ex,2019-04-02 14:00:00,7.124962696959997
NORD,PHS_PP_ex,2019-04-02 15:00:00,7.285250886034997
NORD,PHS_PP_ex,2019-04-02 16:00:00,7.443015151404997
NORD,PHS_PP_ex,2019-04-02 17:00:00,7.582319278434997
NORD,PHS_PP_ex,2019-04-02 18:00:00,7.7142845675899965
NORD,PHS_PP_ex,2019-04-02 19:00:00,7.849132374474997
NORD,PHS_PP_ex,2019-04-02 20:00:00,7.991262038779997
NORD,PHS_PP_ex,2019-04-02 21:00:00,8.125570534449997
