locs,techs,timesteps,resource
CNOR,Hydroror_PP_ex,2019-04-01 14:00:00,0.907236775
CNOR,Hydroror_PP_ex,2019-04-01 15:00:00,0.803382546
CNOR,Hydroror_PP_ex,2019-04-01 16:00:00,0.78694529
CNOR,Hydroror_PP_ex,2019-04-01 17:00:00,0.739582763
CNOR,Hydroror_PP_ex,2019-04-01 18:00:00,0.732003991
CNOR,Hydroror_PP_ex,2019-04-01 19:00:00,0.694917751
CNOR,Hydroror_PP_ex,2019-04-01 20:00:00,0.700039437
CNOR,Hydroror_PP_ex,2019-04-01 21:00:00,0.697626515
CNOR,Hydroror_PP_ex,2019-04-01 22:00:00,0.691449586
CNOR,Hydroror_PP_ex,2019-04-01 23:00:00,0.683218436
CNOR,Hydroror_PP_ex,2019-04-02 00:00:00,0.680778153
CNOR,Hydroror_PP_ex,2019-04-02 01:00:00,0.678422764
CNOR,Hydroror_PP_ex,2019-04-02 02:00:00,0.681299943
CNOR,Hydroror_PP_ex,2019-04-02 03:00:00,0.682647054
CNOR,Hydroror_PP_ex,2019-04-02 04:00:00,0.675564848
CNOR,Hydroror_PP_ex,2019-04-02 05:00:00,0.670748543
CNOR,Hydroror_PP_ex,2019-04-02 06:00:00,0.670372558
CNOR,Hydroror_PP_ex,2019-04-02 07:00:00,0.670567183
CNOR,Hydroror_PP_ex,2019-04-02 08:00:00,0.677083156
CNOR,Hydroror_PP_ex,2019-04-02 09:00:00,0.7001873
CNOR,Hydroror_PP_ex,2019-04-02 10:00:00,0.731035645
CNOR,Hydroror_PP_ex,2019-04-02 11:00:00,0.734944544
CNOR,Hydroror_PP_ex,2019-04-02 12:00:00,0.736250947
CNOR,Hydroror_PP_ex,2019-04-02 13:00:00,0.740449116
CNOR,Hydroror_PP_ex,2019-04-02 14:00:00,0.784833599
CNOR,Hydroror_PP_ex,2019-04-02 15:00:00,0.737578105
CNOR,Hydroror_PP_ex,2019-04-02 16:00:00,0.724447068
CNOR,Hydroror_PP_ex,2019-04-02 17:00:00,0.69291107
CNOR,Hydroror_PP_ex,2019-04-02 18:00:00,0.667523213
CNOR,Hydroror_PP_ex,2019-04-02 19:00:00,0.66881878
CNOR,Hydroror_PP_ex,2019-04-02 20:00:00,0.667441968
CNOR,Hydroror_PP_ex,2019-04-02 21:00:00,0.665974751
CNOR,Hydroror_PP_ex,2019-04-02 22:00:00,0.664749757
CNOR,Hydroror_PP_ex,2019-04-02 23:00:00,0.663537419
CNOR,Hydroror_PP_ex,2019-04-03 00:00:00,0.66589671
CNOR,Hydroror_PP_ex,2019-04-03 01:00:00,0.669373404
CNOR,Hydroror_PP_ex,2019-04-03 02:00:00,0.667300966
CNOR,Hydroror_PP_ex,2019-04-03 03:00:00,0.689158755
CNOR,Hydroror_PP_ex,2019-04-03 04:00:00,0.671507378
CNOR,Hydroror_PP_ex,2019-04-03 05:00:00,0.664914347
CNOR,Hydroror_PP_ex,2019-04-03 06:00:00,0.674617896
CNOR,Hydroror_PP_ex,2019-04-03 07:00:00,0.681541723
CNOR,Hydroror_PP_ex,2019-04-03 08:00:00,0.688845486
CNOR,Hydroror_PP_ex,2019-04-03 09:00:00,0.690571262
CNOR,Hydroror_PP_ex,2019-04-03 10:00:00,0.709198654
CNOR,Hydroror_PP_ex,2019-04-03 11:00:00,0.70891845
CNOR,Hydroror_PP_ex,2019-04-03 12:00:00,0.708403979
