locs,techs,timesteps,required_resource
CSUD,demand_power,2019-04-02 10:00:00,-5302119.5
CSUD,demand_power,2019-04-02 11:00:00,-5292655.25
CSUD,demand_power,2019-04-02 12:00:00,-5142257.5
CSUD,demand_power,2019-04-02 13:00:00,-4933449.0
CSUD,demand_power,2019-04-02 14:00:00,-5168144.5
CSUD,demand_power,2019-04-02 15:00:00,-5440717.25
CSUD,demand_power,2019-04-02 16:00:00,-5708564.25
CSUD,demand_power,2019-04-02 17:00:00,-5858769.0
CSUD,demand_power,2019-04-02 18:00:00,-6313863.0
CSUD,demand_power,2019-04-02 19:00:00,-6389276.75
CSUD,demand_power,2019-04-02 20:00:00,-6096482.5
CSUD,demand_power,2019-04-02 21:00:00,-5704868.5
CSUD,demand_power,2019-04-02 22:00:00,-5282639.75
CSUD,demand_power,2019-04-02 23:00:00,-4728194.75
CSUD,demand_power,2019-04-03 00:00:00,-4496839.25
CSUD,demand_power,2019-04-03 01:00:00,-4359066.25
CSUD,demand_power,2019-04-03 02:00:00,-4378789.0
CSUD,demand_power,2019-04-03 03:00:00,-4424184.25
CSUD,demand_power,2019-04-03 04:00:00,-4759339.75
CSUD,demand_power,2019-04-03 05:00:00,-5672136.0
CSUD,demand_power,2019-04-03 06:00:00,-6563863.75
CSUD,demand_power,2019-04-03 07:00:00,-7735202.75
CSUD,demand_power,2019-04-03 08:00:00,-8206612.25
CSUD,demand_power,2019-04-03 09:00:00,-8375455.0
CSUD,demand_power,2019-04-03 10:00:00,-8137743.25
CSUD,demand_power,2019-04-03 11:00:00,-7715340.0
CSUD,demand_power,2019-04-03 12:00:00,-7447295.0
CSUD,demand_power,2019-04-03 13:00:00,-7251469.5
CSUD,demand_power,2019-04-03 14:00:00,-7235352.5
CSUD,demand_power,2019-04-03 15:00:00,-7312025.0
CSUD,demand_power,2019-04-03 16:00:00,-7182987.5
CSUD,demand_power,2019-04-03 17:00:00,-7055463.25
CSUD,demand_power,2019-04-03 18:00:00,-7205245.25
CSUD,demand_power,2019-04-03 19:00:00,-7561151.5
CSUD,demand_power,2019-04-03 20:00:00,-7168465.5
CSUD,demand_power,2019-04-03 21:00:00,-6589923.75
CSUD,demand_power,2019-04-03 22:00:00,-6034186.0
CSUD,demand_power,2019-04-03 23:00:00,-5336871.5
NORD,demand_power,2019-04-01 00:00:00,-15643141.0
NORD,demand_power,2019-04-01 01:00:00,-15107056.5
NORD,demand_power,2019-04-01 02:00:00,-14910948.75
NORD,demand_power,2019-04-01 03:00:00,-14768836.5
NORD,demand_power,2019-04-01 04:00:00,-15173730.5
NORD,demand_power,2019-04-01 05:00:00,-16019544.25
NORD,demand_power,2019-04-01 06:00:00,-17259011.0
NORD,demand_power,2019-04-01 07:00:00,-18532827.25
NORD,demand_power,2019-04-01 08:00:00,-19120634.75
NORD,demand_power,2019-04-01 09:00:00,-19093909.0
