carriers,locs,timesteps,system_balance
Power,SUD,2019-04-02 15:00:00,-4.656612873077393e-10
Power,SUD,2019-04-02 16:00:00,0.0
Power,SUD,2019-04-02 17:00:00,0.0
Power,SUD,2019-04-02 18:00:00,0.0
Power,SUD,2019-04-02 19:00:00,0.0
Power,SUD,2019-04-02 20:00:00,0.0
Power,SUD,2019-04-02 21:00:00,0.0
Power,SUD,2019-04-02 22:00:00,0.0
Power,SUD,2019-04-02 23:00:00,-4.656612873077393e-10
Power,SUD,2019-04-03 00:00:00,0.0
Power,SUD,2019-04-03 01:00:00,4.656612873077393e-10
Power,SUD,2019-04-03 02:00:00,0.0
Power,SUD,2019-04-03 03:00:00,0.0
Power,SUD,2019-04-03 04:00:00,0.0
Power,SUD,2019-04-03 05:00:00,0.0
Power,SUD,2019-04-03 06:00:00,0.0
Power,SUD,2019-04-03 07:00:00,0.0
Power,SUD,2019-04-03 08:00:00,0.0
Power,SUD,2019-04-03 09:00:00,0.0
Power,SUD,2019-04-03 10:00:00,0.0
Power,SUD,2019-04-03 11:00:00,9.313225746154785e-10
Power,SUD,2019-04-03 12:00:00,0.0
Power,SUD,2019-04-03 13:00:00,9.313225746154785e-10
Power,SUD,2019-04-03 14:00:00,0.0
Power,SUD,2019-04-03 15:00:00,0.0
Power,SUD,2019-04-03 16:00:00,0.0
Power,SUD,2019-04-03 17:00:00,-4.656612873077393e-10
Power,SUD,2019-04-03 18:00:00,0.0
Power,SUD,2019-04-03 19:00:00,0.0
Power,SUD,2019-04-03 20:00:00,-4.656612873077393e-10
Power,SUD,2019-04-03 21:00:00,0.0
Power,SUD,2019-04-03 22:00:00,0.0
Power,SUD,2019-04-03 23:00:00,0.0
