carriers,locs,lookup_loc_carriers
Power,CNOR,"CNOR::Trans:CSUD::Power,CNOR::Geo_PP_ex::Power,CNOR::Trans:NORD::Power,CNOR::PV_PP_new::Power,CNOR::Wind_off_PP_new::Power,CNOR::Nuclear_PP_new::Power,CNOR::Geo_PP_new::Power,CNOR::Hydroror_PP_new::Power,CNOR::PV_roof_new::Power,CNOR::OXC_PP_new::Power,CNOR::demand_power::Power,CNOR::Wind_on_PP_new::Power,CNOR::Wind_PP_ex::Power,CNOR::PV_PP_ex::Power,CNOR::Trans:SARD::Power,CNOR::PHS_PP_new::Power,CNOR::PV_roof_ex::Power,CNOR::Hydroror_PP_ex::Power,CNOR::Hydrodam_PP_ex::Power"
Power,CSUD,"CSUD::PV_roof_new::Power,CSUD::PHS_PP_new::Power,CSUD::Trans:SUD::Power,CSUD::Wind_PP_ex::Power,CSUD::Trans:CNOR::Power,CSUD::Trans:SARD::Power,CSUD::OXC_PP_new::Power,CSUD::Nuclear_PP_new::Power,CSUD::PV_roof_ex::Power,CSUD::Wind_on_PP_new::Power,CSUD::Hydroror_PP_new::Power,CSUD::Wind_off_PP_new::Power,CSUD::Hydroror_PP_ex::Power,CSUD::Hydrodam_PP_ex::Power,CSUD::PV_PP_ex::Power,CSUD::demand_power::Power,CSUD::PV_PP_new::Power,CSUD::PHS_PP_ex::Power"
Power,NORD,"NORD::Wind_on_PP_new::Power,NORD::PHS_PP_ex::Power,NORD::Hydrodam_PP_ex::Power,NORD::PV_roof_ex::Power,NORD::Hydroror_PP_new::Power,NORD::PV_PP_ex::Power,NORD::Wind_off_PP_new::Power,NORD::OXC_PP_new::Power,NORD::PV_PP_new::Power,NORD::Hydroror_PP_ex::Power,NORD::PV_roof_new::Power,NORD::demand_power::Power,NORD::PHS_PP_new::Power,NORD::Trans:CNOR::Power,NORD::Nuclear_PP_new::Power"
Power,SARD,"SARD::PV_roof_new::Power,SARD::Hydroror_PP_new::Power,SARD::PV_PP_new::Power,SARD::PV_PP_ex::Power,SARD::demand_power::Power,SARD::Hydrodam_PP_ex::Power,SARD::PHS_PP_new::Power,SARD::Trans:CNOR::Power,SARD::Trans:CSUD::Power,SARD::Hydroror_PP_ex::Power,SARD::PHS_PP_ex::Power,SARD::Nuclear_PP_new::Power,SARD::Wind_PP_ex::Power,SARD::OXC_PP_new::Power,SARD::Wind_on_PP_new::Power,SARD::PV_roof_ex::Power,SARD::Wind_off_PP_new::Power"
Power,SICI,"SICI::PV_PP_ex::Power,SICI::Hydrodam_PP_ex::Power,SICI::Wind_on_PP_new::Power,SICI::PHS_PP_ex::Power,SICI::PHS_PP_new::Power,SICI::Wind_off_PP_new::Power,SICI::Hydroror_PP_new::Power,SICI::Hydroror_PP_ex::Power,SICI::PV_roof_ex::Power,SICI::Nuclear_PP_new::Power,SICI::demand_power::Power,SICI::Wind_PP_ex::Power,SICI::OXC_PP_new::Power,SICI::Trans:SUD::Power,SICI::PV_PP_new::Power,SICI::PV_roof_new::Power"
Power,SUD,"SUD::Hydroror_PP_ex::Power,SUD::Wind_off_PP_new::Power,SUD::Hydrodam_PP_ex::Power,SUD::Wind_PP_ex::Power,SUD::Nuclear_PP_new::Power,SUD::PV_roof_new::Power,SUD::PV_roof_ex::Power,SUD::demand_power::Power,SUD::Hydroror_PP_new::Power,SUD::Trans:SICI::Power,SUD::PV_PP_ex::Power,SUD::Wind_on_PP_new::Power,SUD::Trans:CSUD::Power,SUD::PHS_PP_new::Power,SUD::PV_PP_new::Power,SUD::OXC_PP_new::Power"
