locs,techs,timesteps,required_resource
CNOR,demand_power,2019-01-05 10:00:00,-6086359.799
CNOR,demand_power,2019-01-05 11:00:00,-5757166.651
CNOR,demand_power,2019-01-05 12:00:00,-5396757.94
CNOR,demand_power,2019-01-05 13:00:00,-5226588.564
CNOR,demand_power,2019-01-05 14:00:00,-5444724.622
CNOR,demand_power,2019-01-05 15:00:00,-5480341.053
CNOR,demand_power,2019-01-05 16:00:00,-5679614.087
CNOR,demand_power,2019-01-05 17:00:00,-6010882.539
CNOR,demand_power,2019-01-05 18:00:00,-6032529.563
CNOR,demand_power,2019-01-05 19:00:00,-5989197.999
CNOR,demand_power,2019-01-05 20:00:00,-5622165.795
CNOR,demand_power,2019-01-05 21:00:00,-5153217.26
CNOR,demand_power,2019-01-05 22:00:00,-4650933.938
CNOR,demand_power,2019-01-05 23:00:00,-4207745.059
CNOR,demand_power,2019-01-06 00:00:00,-3752680.834
CNOR,demand_power,2019-01-06 01:00:00,-3452854.416
CNOR,demand_power,2019-01-06 02:00:00,-3300308.646
CNOR,demand_power,2019-01-06 03:00:00,-3210689.951
CNOR,demand_power,2019-01-06 04:00:00,-3177447.125
CNOR,demand_power,2019-01-06 05:00:00,-3285847.863
CNOR,demand_power,2019-01-06 06:00:00,-3491414.52
CNOR,demand_power,2019-01-06 07:00:00,-3824982.917
CNOR,demand_power,2019-01-06 08:00:00,-4009062.681
CNOR,demand_power,2019-01-06 09:00:00,-4086791.847
CNOR,demand_power,2019-01-06 10:00:00,-4027410.082
CNOR,demand_power,2019-01-06 11:00:00,-4072631.196
CNOR,demand_power,2019-01-06 12:00:00,-4089728.657
CNOR,demand_power,2019-01-06 13:00:00,-3748113.885
CNOR,demand_power,2019-01-06 14:00:00,-3788151.774
CNOR,demand_power,2019-01-06 15:00:00,-4058875.449
CNOR,demand_power,2019-01-06 16:00:00,-4330484.88
CNOR,demand_power,2019-01-06 17:00:00,-4773417.092
CNOR,demand_power,2019-01-06 18:00:00,-4960386.085
CNOR,demand_power,2019-01-06 19:00:00,-5093495.102
CNOR,demand_power,2019-01-06 20:00:00,-4947143.216
CNOR,demand_power,2019-01-06 21:00:00,-4637261.002
CNOR,demand_power,2019-01-06 22:00:00,-4263131.316
CNOR,demand_power,2019-01-06 23:00:00,-3862945.959
CNOR,demand_power,2019-01-07 00:00:00,-3447407.202
CNOR,demand_power,2019-01-07 01:00:00,-3215792.196
CNOR,demand_power,2019-01-07 02:00:00,-3028437.057
CNOR,demand_power,2019-01-07 03:00:00,-2990841.401
CNOR,demand_power,2019-01-07 04:00:00,-2991965.981
CNOR,demand_power,2019-01-07 05:00:00,-3115594.303
CNOR,demand_power,2019-01-07 06:00:00,-3449632.571
CNOR,demand_power,2019-01-07 07:00:00,-3798868.684
CNOR,demand_power,2019-01-07 08:00:00,-4135383.041
CNOR,demand_power,2019-01-07 09:00:00,-4515679.617
CNOR,demand_power,2019-01-07 10:00:00,-4687777.891
CNOR,demand_power,2019-01-07 11:00:00,-4701460.893
CNOR,demand_power,2019-01-07 12:00:00,-4702043.771
CNOR,demand_power,2019-01-07 13:00:00,-4568759.982
CNOR,demand_power,2019-01-07 14:00:00,-4518244.008
CNOR,demand_power,2019-01-07 15:00:00,-4537713.701
CNOR,demand_power,2019-01-07 16:00:00,-4694421.973
CNOR,demand_power,2019-01-07 17:00:00,-5123338.109
CNOR,demand_power,2019-01-07 18:00:00,-5281809.199
CNOR,demand_power,2019-01-07 19:00:00,-5408059.101
CNOR,demand_power,2019-01-07 20:00:00,-5093404.056
CNOR,demand_power,2019-01-07 21:00:00,-4643305.277
CNOR,demand_power,2019-01-07 22:00:00,-4270963.115
CNOR,demand_power,2019-01-07 23:00:00,-3860432.354
CNOR,demand_power,2019-01-08 00:00:00,-3485864.822
CNOR,demand_power,2019-01-08 01:00:00,-3180000.535
CNOR,demand_power,2019-01-08 02:00:00,-3055757.766
CNOR,demand_power,2019-01-08 03:00:00,-2974088.909
CNOR,demand_power,2019-01-08 04:00:00,-2979882.007
CNOR,demand_power,2019-01-08 05:00:00,-3042768.82
CNOR,demand_power,2019-01-08 06:00:00,-3232002.528
CNOR,demand_power,2019-01-08 07:00:00,-3423683.045
CNOR,demand_power,2019-01-08 08:00:00,-3681232.48
CNOR,demand_power,2019-01-08 09:00:00,-3998285.379
CNOR,demand_power,2019-01-08 10:00:00,-4388090.101
CNOR,demand_power,2019-01-08 11:00:00,-4559175.887
CNOR,demand_power,2019-01-08 12:00:00,-4435436.388
CNOR,demand_power,2019-01-08 13:00:00,-4303722.344
CNOR,demand_power,2019-01-08 14:00:00,-4648755.236
CNOR,demand_power,2019-01-08 15:00:00,-4612516.579
CNOR,demand_power,2019-01-08 16:00:00,-4572896.405
CNOR,demand_power,2019-01-08 17:00:00,-4844854.465
CNOR,demand_power,2019-01-08 18:00:00,-5057519.061
CNOR,demand_power,2019-01-08 19:00:00,-5230564.856
CNOR,demand_power,2019-01-08 20:00:00,-5100248.073
CNOR,demand_power,2019-01-08 21:00:00,-4779316.791
CNOR,demand_power,2019-01-08 22:00:00,-4378835.878
CNOR,demand_power,2019-01-08 23:00:00,-4045098.199
CNOR,demand_power,2019-01-09 00:00:00,-3677338.999
CNOR,demand_power,2019-01-09 01:00:00,-3586574.677
CNOR,demand_power,2019-01-09 02:00:00,-3583821.332
CNOR,demand_power,2019-01-09 03:00:00,-3512126.833
CNOR,demand_power,2019-01-09 04:00:00,-3567991.654
CNOR,demand_power,2019-01-09 05:00:00,-3820000.084
CNOR,demand_power,2019-01-09 06:00:00,-4787841.73
CNOR,demand_power,2019-01-09 07:00:00,-5728992.213
CNOR,demand_power,2019-01-09 08:00:00,-6615083.107
CNOR,demand_power,2019-01-09 09:00:00,-7079722.277
CNOR,demand_power,2019-01-09 10:00:00,-7224874.092
CNOR,demand_power,2019-01-09 11:00:00,-7165259.908
CNOR,demand_power,2019-01-09 12:00:00,-7031740.497
CNOR,demand_power,2019-01-09 13:00:00,-6888803.528
CNOR,demand_power,2019-01-09 14:00:00,-6948997.845
CNOR,demand_power,2019-01-09 15:00:00,-7118443.428
CNOR,demand_power,2019-01-09 16:00:00,-7168038.875
CNOR,demand_power,2019-01-09 17:00:00,-7176566.56
CNOR,demand_power,2019-01-09 18:00:00,-7013107.605
CNOR,demand_power,2019-01-09 19:00:00,-6915066.454
CNOR,demand_power,2019-01-09 20:00:00,-6510060.684
CNOR,demand_power,2019-01-09 21:00:00,-5971076.155
CNOR,demand_power,2019-01-09 22:00:00,-5340309.326
CNOR,demand_power,2019-01-09 23:00:00,-4742551.531
CNOR,demand_power,2019-01-10 00:00:00,-4444287.538
CNOR,demand_power,2019-01-10 01:00:00,-4269311.474
CNOR,demand_power,2019-01-10 02:00:00,-4094652.927
CNOR,demand_power,2019-01-10 03:00:00,-4132457.211
CNOR,demand_power,2019-01-10 04:00:00,-4184063.909
CNOR,demand_power,2019-01-10 05:00:00,-4534516.563
CNOR,demand_power,2019-01-10 06:00:00,-5454296.363
CNOR,demand_power,2019-01-10 07:00:00,-6469390.505
CNOR,demand_power,2019-01-10 08:00:00,-7433724.816
CNOR,demand_power,2019-01-10 09:00:00,-8049616.351
CNOR,demand_power,2019-01-10 10:00:00,-8255899.938
CNOR,demand_power,2019-01-10 11:00:00,-8036123.677
CNOR,demand_power,2019-01-10 12:00:00,-7296869.638
CNOR,demand_power,2019-01-10 13:00:00,-7064951.754
CNOR,demand_power,2019-01-10 14:00:00,-7236437.411
CNOR,demand_power,2019-01-10 15:00:00,-7172002.356
CNOR,demand_power,2019-01-10 16:00:00,-7174114.719
CNOR,demand_power,2019-01-10 17:00:00,-7341296.5
CNOR,demand_power,2019-01-10 18:00:00,-7201199.348
CNOR,demand_power,2019-01-10 19:00:00,-7092487.954
CNOR,demand_power,2019-01-10 20:00:00,-6647466.256
