locs,techs,timesteps,required_resource
CNOR,demand_power,2019-01-05 10:00:00,-3977870.869
CNOR,demand_power,2019-01-05 11:00:00,-3762719.633
CNOR,demand_power,2019-01-05 12:00:00,-3527166.797
CNOR,demand_power,2019-01-05 13:00:00,-3415948.954
CNOR,demand_power,2019-01-05 14:00:00,-3558516.449
CNOR,demand_power,2019-01-05 15:00:00,-3581794.331
CNOR,demand_power,2019-01-05 16:00:00,-3712033.493
CNOR,demand_power,2019-01-05 17:00:00,-3928541.088
CNOR,demand_power,2019-01-05 18:00:00,-3942688.964
CNOR,demand_power,2019-01-05 19:00:00,-3914368.692
CNOR,demand_power,2019-01-05 20:00:00,-3674486.93
CNOR,demand_power,2019-01-05 21:00:00,-3367995.567
CNOR,demand_power,2019-01-05 22:00:00,-3039717.538
CNOR,demand_power,2019-01-05 23:00:00,-2750061.949
CNOR,demand_power,2019-01-06 00:00:00,-2452644.973
CNOR,demand_power,2019-01-06 01:00:00,-2256686.993
CNOR,demand_power,2019-01-06 02:00:00,-2156987.437
CNOR,demand_power,2019-01-06 03:00:00,-2098415.218
CNOR,demand_power,2019-01-06 04:00:00,-2076688.657
CNOR,demand_power,2019-01-06 05:00:00,-2147536.282
CNOR,demand_power,2019-01-06 06:00:00,-2281888.776
CNOR,demand_power,2019-01-06 07:00:00,-2499899.549
CNOR,demand_power,2019-01-06 08:00:00,-2620208.824
CNOR,demand_power,2019-01-06 09:00:00,-2671010.386
CNOR,demand_power,2019-01-06 10:00:00,-2632200.161
CNOR,demand_power,2019-01-06 11:00:00,-2661755.389
CNOR,demand_power,2019-01-06 12:00:00,-2672929.801
CNOR,demand_power,2019-01-06 13:00:00,-2449660.146
CNOR,demand_power,2019-01-06 14:00:00,-2475827.767
CNOR,demand_power,2019-01-06 15:00:00,-2652765.026
CNOR,demand_power,2019-01-06 16:00:00,-2830281.19
CNOR,demand_power,2019-01-06 17:00:00,-3119769.028
CNOR,demand_power,2019-01-06 18:00:00,-3241966.62
CNOR,demand_power,2019-01-06 19:00:00,-3328962.87
CNOR,demand_power,2019-01-06 20:00:00,-3233311.459
CNOR,demand_power,2019-01-06 21:00:00,-3030781.298
CNOR,demand_power,2019-01-06 22:00:00,-2786260.824
CNOR,demand_power,2019-01-06 23:00:00,-2524711.109
CNOR,demand_power,2019-01-07 00:00:00,-2253126.85
CNOR,demand_power,2019-01-07 01:00:00,-2101749.899
CNOR,demand_power,2019-01-07 02:00:00,-1979299.934
CNOR,demand_power,2019-01-07 03:00:00,-1954728.487
CNOR,demand_power,2019-01-07 04:00:00,-1955463.481
CNOR,demand_power,2019-01-07 05:00:00,-2036263.42
CNOR,demand_power,2019-01-07 06:00:00,-2254581.288
CNOR,demand_power,2019-01-07 07:00:00,-2482832.033
CNOR,demand_power,2019-01-07 08:00:00,-2702768.202
CNOR,demand_power,2019-01-07 09:00:00,-2951319.178
CNOR,demand_power,2019-01-07 10:00:00,-3063797.693
CNOR,demand_power,2019-01-07 11:00:00,-3072740.512
CNOR,demand_power,2019-01-07 12:00:00,-3073121.465
CNOR,demand_power,2019-01-07 13:00:00,-2986010.988
CNOR,demand_power,2019-01-07 14:00:00,-2952995.191
CNOR,demand_power,2019-01-07 15:00:00,-2965720.026
CNOR,demand_power,2019-01-07 16:00:00,-3068140.075
CNOR,demand_power,2019-01-07 17:00:00,-3348467.407
CNOR,demand_power,2019-01-07 18:00:00,-3452039.584
CNOR,demand_power,2019-01-07 19:00:00,-3534552.913
CNOR,demand_power,2019-01-07 20:00:00,-3328903.365
CNOR,demand_power,2019-01-07 21:00:00,-3034731.663
CNOR,demand_power,2019-01-07 22:00:00,-2791379.464
CNOR,demand_power,2019-01-07 23:00:00,-2523068.288
CNOR,demand_power,2019-01-08 00:00:00,-2278261.652
CNOR,demand_power,2019-01-08 01:00:00,-2078357.492
