locs,techs,energy_cap,,,,,,,,,,,,,,,,,,,,,,,
NORD,PV_PP_ex,7245000,,,,,,,,,,,,,,,,,,,,,,,
SARD,PV_PP_ex,407000,,,,,,,,,,,,,,,,,,,,,,,
SICI,PV_PP_ex,631000,,,,,,,,,,,,,,,,,,,,,,,
SUD,PV_PP_ex,1110000,,,,,,,,,,,,,,,,,,,,,,,
CNOR,PV_PP_new,0,,,,,,,,,,,,,,,,,,,,,,,
CSUD,PV_PP_new,4041262.253,,,,,,,,,,,,,,,,,,,,,,,
NORD,PV_PP_new,8939429.871,,,,,,,,,,,,,,,,,,,,,,,
SARD,PV_PP_new,0,,,,,,,,,,,,,,,,,,,,,,,
SICI,PV_PP_new,1869864.385,,,,,,,,,,,,,,,,,,,,,,,
SUD,PV_PP_new,0,,,,,,,,,,,,,,,,,,,,,,,
CNOR,PV_roof_ex,1650000,,,,,,,,,,,,,,,,,,,,,,,
CSUD,PV_roof_ex,2400000,,,,,,,,,,,,,,,,,,,,,,,
NORD,PV_roof_ex,6628000,,,,,,,,,,,,,,,,,,,,,,,
SARD,PV_roof_ex,734000,,,,,,,,,,,,,,,,,,,,,,,
SICI,PV_roof_ex,1126000,,,,,,,,,,,,,,,,,,,,,,,
SUD,PV_roof_ex,3156000,,,,,,,,,,,,,,,,,,,,,,,
CNOR,PV_roof_new,0,,,,,,,,,,,,,,,,,,,,,,,
CSUD,PV_roof_new,0,,,,,,,,,,,,,,,,,,,,,,,
NORD,PV_roof_new,0,,,,,,,,,,,,,,,,,,,,,,,
SARD,PV_roof_new,0,,,,,,,,,,,,,,,,,,,,,,,
SICI,PV_roof_new,0,,,,,,,,,,,,,,,,,,,,,,,
SUD,PV_roof_new,0,,,,,,,,,,,,,,,,,,,,,,,
CSUD,Trans:CNOR,4200000,,,,,,,,,,,,,,,,,,,,,,,
NORD,Trans:CNOR,4500000,,,,,,,,,,,,,,,,,,,,,,,
SARD,Trans:CNOR,300000,,,,,,,,,,,,,,,,,,,,,,,
CNOR,Trans:CSUD,4200000,,,,,,,,,,,,,,,,,,,,,,,
SARD,Trans:CSUD,1000000,,,,,,,,,,,,,,,,,,,,,,,
SUD,Trans:CSUD,5700000,,,,,,,,,,,,,,,,,,,,,,,
CNOR,Trans:NORD,4500000,,,,,,,,,,,,,,,,,,,,,,,
CNOR,Trans:SARD,300000,,,,,,,,,,,,,,,,,,,,,,,
CSUD,Trans:SARD,1000000,,,,,,,,,,,,,,,,,,,,,,,
SUD,Trans:SICI,1500000,,,,,,,,,,,,,,,,,,,,,,,
CSUD,Trans:SUD,5700000,,,,,,,,,,,,,,,,,,,,,,,
SICI,Trans:SUD,1500000,,,,,,,,,,,,,,,,,,,,,,,
CSUD,USC_PP_ex,1845000,,,,,,,,,,,,,,,,,,,,,,,
CNOR,Wind_off_PP_new,0,,,,,,,,,,,,,,,,,,,,,,,
CSUD,Wind_off_PP_new,0,,,,,,,,,,,,,,,,,,,,,,,
NORD,Wind_off_PP_new,0,,,,,,,,,,,,,,,,,,,,,,,
SARD,Wind_off_PP_new,0,,,,,,,,,,,,,,,,,,,,,,,
SICI,Wind_off_PP_new,0,,,,,,,,,,,,,,,,,,,,,,,
SUD,Wind_off_PP_new,0,,,,,,,,,,,,,,,,,,,,,,,
CNOR,Wind_on_PP_new,0,,,,,,,,,,,,,,,,,,,,,,,
CSUD,Wind_on_PP_new,0,,,,,,,,,,,,,,,,,,,,,,,
NORD,Wind_on_PP_new,0,,,,,,,,,,,,,,,,,,,,,,,
SARD,Wind_on_PP_new,263407.8671,,,,,,,,,,,,,,,,,,,,,,,
SICI,Wind_on_PP_new,20946.66896,,,,,,,,,,,,,,,,,,,,,,,
SUD,Wind_on_PP_new,284028.919,,,,,,,,,,,,,,,,,,,,,,,
CNOR,Wind_PP_ex,166000,,,,,,,,,,,,,,,,,,,,,,,
CSUD,Wind_PP_ex,2316000,,,,,,,,,,,,,,,,,,,,,,,
NORD,Wind_PP_ex,199000,,,,,,,,,,,,,,,,,,,,,,,
SARD,Wind_PP_ex,1095000,,,,,,,,,,,,,,,,,,,,,,,
SICI,Wind_PP_ex,2126000,,,,,,,,,,,,,,,,,,,,,,,
SUD,Wind_PP_ex,6053000,,,,,,,,,,,,,,,,,,,,,,,
CNOR,WTE_PP_ex,23000,,,,,,,,,,,,,,,,,,,,,,,
CSUD,WTE_PP_ex,128000,,,,,,,,,,,,,,,,,,,,,,,
NORD,WTE_PP_ex,303000,,,,,,,,,,,,,,,,,,,,,,,
SARD,WTE_PP_ex,4000,,,,,,,,,,,,,,,,,,,,,,,
SUD,WTE_PP_ex,33000,,,,,,,,,,,,,,,,,,,,,,,
