costs,locs,techs,cost_investment,,Investment Costs (milion Û),,,,Investment Costs (milion Û)
co2,CNOR,Hydroror_PP_ex,0,,,,,,
co2,CNOR,Hydroror_PP_new,0,,,,,,
co2,CNOR,Oil_PP_ex,0,,,,,,
co2,CNOR,PHS_PP_new,0,,,,,,
co2,CNOR,PV_PP_ex,0,,,,,,
co2,CNOR,PV_PP_new,0,,,,,,
co2,CNOR,PV_roof_ex,0,,,,,,
co2,CNOR,PV_roof_new,0,,,,,,
co2,CNOR,WTE_PP_ex,0,,,,,,
co2,CNOR,Wind_PP_ex,0,,,,,,
co2,CNOR,Wind_off_PP_new,0,,,,,,
co2,CNOR,Wind_on_PP_new,0,,,,,,
co2,CSUD,Bio_PP_ex,0,,,,,,
co2,CSUD,CCGT_PP_ex,0,,,,,,
co2,CSUD,Hydrodam_PP_ex,0,,,,,,
co2,CSUD,Hydroror_PP_ex,0,,,,,,
co2,CSUD,Hydroror_PP_new,0,,,,,,
co2,CSUD,Oil_PP_ex,0,,,,,,
co2,CSUD,PHS_PP_ex,0,,,,,,
co2,CSUD,PHS_PP_new,0,,,,,,
co2,CSUD,PV_PP_ex,0,,,,,,
co2,CSUD,PV_PP_new,0,,,,,,
co2,CSUD,PV_roof_ex,0,,,,,,
co2,CSUD,PV_roof_new,0,,,,,,
co2,CSUD,USC_PP_ex,0,,,,,,
co2,CSUD,WTE_PP_ex,0,,,,,,
co2,CSUD,Wind_PP_ex,0,,,,,,
co2,CSUD,Wind_off_PP_new,0,,,,,,
co2,CSUD,Wind_on_PP_new,0,,,,,,
co2,NORD,Bio_PP_ex,0,,,,,,
co2,NORD,CCGT_PP_ex,0,,,,,,
co2,NORD,Hydrodam_PP_ex,0,,,,,,
co2,NORD,Hydroror_PP_ex,0,,,,,,
co2,NORD,Hydroror_PP_new,0,,,,,,
co2,NORD,Oil_PP_ex,0,,,,,,
co2,NORD,PHS_PP_ex,0,,,,,,
co2,NORD,PHS_PP_new,0,,,,,,
co2,NORD,PV_PP_ex,0,,,,,,
co2,NORD,PV_PP_new,0,,,,,,
co2,NORD,PV_roof_ex,0,,,,,,
co2,NORD,PV_roof_new,0,,,,,,
co2,NORD,WTE_PP_ex,0,,,,,,
co2,NORD,Wind_PP_ex,0,,,,,,
co2,NORD,Wind_off_PP_new,0,,,,,,
co2,NORD,Wind_on_PP_new,0,,,,,,
co2,SARD,Bio_PP_ex,0,,,,,,
